id,pollutant_id,Prediction_LDA,Prediction_Bayes
3013,NO2,PM2.5,PM2.5
3014,SO2,SO2,NO2
3015,NO2,CO,CO
3017,CO,PM10,PM10
3018,OZONE,OZONE,NO2
3019,PM10,PM2.5,PM2.5
3021,NH3,SO2,SO2
3023,NH3,SO2,SO2
3024,CO,PM10,PM10
3025,NH3,SO2,SO2
3027,NH3,SO2,SO2
3028,SO2,CO,CO
3029,CO,PM10,PM10
3030,CO,NO2,NO2
3031,NH3,SO2,SO2
3032,SO2,SO2,NO2
3034,NH3,NH3,SO2
3035,NO2,SO2,SO2
3036,SO2,SO2,NO2
3037,OZONE,NH3,SO2
3038,PM10,SO2,SO2
3039,NO2,NH3,SO2
3040,NH3,NH3,SO2
3043,CO,NO2,NO2
3044,PM10,PM2.5,PM2.5
3045,NO2,NH3,SO2
3046,SO2,OZONE,OZONE
3049,SO2,NO2,NO2
3051,NH3,NH3,SO2
3053,PM2.5,PM10,PM10
3056,CO,NO2,NO2
3057,CO,NH3,SO2
3059,NO2,SO2,SO2
3060,NO2,SO2,SO2
3062,NH3,SO2,SO2
3063,NO2,SO2,SO2
3065,PM2.5,PM10,PM10
3066,NO2,NH3,SO2
3067,NH3,NH3,SO2
3068,PM10,OZONE,OZONE
3069,NO2,NH3,SO2
3070,NO2,SO2,SO2
3071,CO,NO2,NO2
3074,NO2,SO2,SO2
3076,OZONE,SO2,SO2
3077,NO2,SO2,SO2
3078,NH3,SO2,SO2
3080,OZONE,NO2,NO2
3081,PM2.5,PM10,PM10
3087,CO,OZONE,OZONE
3091,CO,CO,NO2
3097,CO,NO2,NO2
3099,PM10,PM2.5,PM2.5
3100,NH3,NH3,SO2
3102,CO,OZONE,OZONE
3105,NH3,SO2,SO2
3107,OZONE,NH3,SO2
3110,CO,OZONE,NO2
3112,PM10,PM2.5,PM2.5
3114,PM2.5,NH3,SO2
3115,NH3,NH3,SO2
3121,NO2,OZONE,CO
3123,NO2,CO,CO
3125,PM10,PM2.5,PM2.5
3131,PM10,PM2.5,PM2.5
3132,NO2,CO,CO
3133,NO2,CO,CO
3135,NH3,NH3,SO2
3136,OZONE,CO,CO
3138,NH3,SO2,SO2
3139,CO,NO2,NO2
3140,PM10,PM2.5,PM2.5
3142,OZONE,CO,CO
3143,NH3,SO2,SO2
3144,CO,SO2,SO2
3147,NH3,NO2,NO2
3148,OZONE,NO2,NO2
3151,NO2,NH3,SO2
3152,NH3,NH3,SO2
3154,CO,NH3,SO2
3155,PM10,NH3,SO2
3157,CO,OZONE,OZONE
3158,OZONE,NH3,SO2
3159,NO2,SO2,SO2
3161,NO2,NH3,SO2
3162,NH3,NH3,SO2
3163,PM2.5,NO2,NO2
3164,PM10,OZONE,OZONE
3165,SO2,SO2,NO2
3166,CO,NO2,NO2
3167,NH3,NH3,SO2
3169,OZONE,NH3,SO2
3170,NH3,NH3,SO2
3171,PM10,CO,CO
3172,NO2,SO2,SO2
3173,CO,NO2,NO2
3174,NH3,NH3,SO2
3175,NH3,NH3,SO2
3176,CO,OZONE,OZONE
3177,NO2,SO2,SO2
3178,CO,SO2,SO2
3179,PM2.5,SO2,NO2
3181,CO,NO2,NO2
3182,PM2.5,SO2,NO2
3183,NH3,SO2,SO2
3184,NO2,SO2,SO2
3185,PM2.5,SO2,SO2
3188,PM10,CO,CO
3189,CO,SO2,NO2
3190,NH3,NH3,SO2
3191,PM2.5,SO2,NO2
3192,PM2.5,PM10,PM10
3194,OZONE,SO2,SO2
3195,NO2,NH3,SO2
3196,CO,NO2,NO2
3197,PM2.5,CO,CO
3198,PM10,CO,CO
3200,OZONE,NH3,SO2
3201,PM2.5,NH3,SO2
3202,NH3,NH3,SO2
3203,NO2,NH3,SO2
3205,PM10,SO2,NO2
3206,NH3,NH3,SO2
3212,CO,NO2,NO2
3213,PM2.5,PM10,PM10
3214,NO2,NH3,SO2
3215,NH3,NH3,SO2
3216,PM2.5,PM10,PM10
3218,NO2,PM10,PM10
3220,PM10,CO,CO
3221,OZONE,NO2,NO2
3224,OZONE,NH3,SO2
3226,PM10,CO,CO
3230,NH3,NH3,SO2
3231,CO,NO2,NO2
3234,NH3,NH3,SO2
3236,PM10,CO,CO
3237,NH3,NH3,SO2
3240,NO2,OZONE,OZONE
3242,PM10,CO,CO
3243,OZONE,NH3,SO2
3244,NO2,CO,CO
3245,PM10,PM2.5,PM2.5
3247,PM10,PM2.5,PM2.5
3250,NO2,SO2,SO2
3251,NH3,NH3,SO2
3254,PM2.5,PM10,PM10
3255,NO2,NH3,SO2
3257,CO,NO2,NO2
3262,NH3,NH3,SO2
3263,CO,SO2,SO2
3264,PM2.5,PM10,PM10
3268,CO,OZONE,OZONE
3270,NH3,SO2,SO2
3272,PM2.5,PM10,PM10
3274,NO2,SO2,SO2
3275,OZONE,SO2,SO2
3276,PM2.5,PM10,PM10
3277,NH3,NH3,SO2
3280,OZONE,SO2,SO2
3281,OZONE,OZONE,NO2
3282,PM2.5,PM10,PM10
3283,NO2,SO2,SO2
3285,PM10,CO,CO
3291,CO,NO2,NO2
3292,NO2,OZONE,CO
3293,NH3,NH3,SO2
3294,CO,OZONE,OZONE
3296,CO,SO2,SO2
3297,PM2.5,PM10,PM10
3298,NO2,CO,CO
3299,NO2,OZONE,OZONE
3300,CO,NO2,NO2
3301,OZONE,NO2,NO2
3302,NH3,NH3,SO2
3303,CO,NO2,NO2
3304,OZONE,NO2,NO2
3305,NO2,SO2,SO2
3306,CO,OZONE,OZONE
3307,CO,OZONE,OZONE
3308,PM10,PM2.5,PM2.5
3309,NO2,OZONE,OZONE
3310,OZONE,CO,NO2
3312,NH3,SO2,SO2
3313,SO2,NO2,NO2
3315,NH3,SO2,SO2
